        name    code
0      CJ오쇼핑  035760
1      CMG제약  058820
2  IBKS제8호스팩  277410
3        KTH  036030
4  SBI인베스트먼트  019550
성도이엔지 4814 15470000
세진티에스 5269 8396593
셀바스헬스케어 -6908 13147071
셀트리온제약 -416477 34044492
스맥 -11000 27220484
시공테크 -6686 20047970
시그네틱스 8243 85728319
신라에스지 0 4000000
신라젠 -590202 69386033
썸에이지 320419 76020529
쎌바이오텍 -78538 9400000
쏠리드 -270124 38397659
씨엔플러스 783 36226748
씨유메디칼 8515 15570124
씨트리 -66617 13848373
씨티케이코스메틱스 17605 10122151
아바코 209087 15996505
아스트 -67523 15530097
아시아종묘 -81600 9215539
아이엠 -81558 22572009
아이엠텍 0 20475026
아이원스 236803 13415919
아이컴포넌트 -2950 7070860
아이크래프트 11419 8053968
아이텍반도체 -1840 5317546
아이티센 -9312 15700682
안랩 -40380 10013855
야스 -55452 12930000
에스엠코어 -124823 20000000
에스텍 -2247 10910000
에이씨티 -53149 20822921
에이치케이 29515 18455787
에코마케팅 146429 16198937
에코플라스틱 6520 25669370
에프앤리퍼블릭 403456 51700352
엑사이엔씨 -44291 33173548
엔시트론 -750404 90642795
엔터메이트 497118 44197443
엘아이에스 -84946 14773091
엘엠에스 5658 8895755
엘오티베큠 -5583 13258256
예스24 1950 17200000
오공 8270 11521974
오리엔트정공 285 67214562
와이디온라인 26 30162616
와이솔 125627 24096941
우성아이비 0 20720000
웰크론강원 -21790 15253030
위메이드 7153 16800000
유니온커뮤니티 3719 14679007
유아이디 -5000 11887792
유진테크 -359636 22916042
이녹스첨단소재 229804 8969506
이베스트투자증권 5296 40481190
이씨에스 60 7500000
이엠코리아 379358 35736265
이테크건설 -11769 2800000
이퓨쳐 0 4769250
이화전기 -4402012 498136860
인선이엔티 300831 36324236
인지디스플레 -4990 35603146
인트로메딕 -48571 15305256
인포뱅크 3200 8693978
잉크테크 6907 16019932
자이글 1401 13530910
제닉 -39308 7000000
제미니투자 1068 40000000
제이스테판 1324 260769929
좋은사람들 0 26412536
지엔씨에너지 -41927 16295828
지엘팜텍 -999 32244133
진매트릭스 0 10215273
진성티이씨 -261643 22482268
차이나그레이트 762 125866557
컬러레이 -17698 54000000
케이에스피 0 7540914
케이엘넷 -9634 24154730
케이엠더블유 -191483 16100000
코렌 3024 30071471
코맥스 -2 14279965
코아시아홀딩스 -6909 18841240
코콤 0 17530500
크레아플래닛 176926 58166198
크로바하이텍 -2346 13000000
크리스탈 -282165 26139558
클래시스 -6302 60473077
태광 -82330 26500000
테라셈 179 13966340
텔콘RF제약 -326297 76692219
토박스코리아 -996593 37682487
투윈글로벌 59462 61670933
티엘아이 4826 9872720
포메탈 -5825 11847232
포스코 ICT -384857 152034729
프로텍 88365 9460203
피씨디렉트 -232 7540136
피씨엘 -39237 8941164
필링크 -376692 59745447
한국맥널티 27889 4975000
한국정보공학 -242 8018397
한일사료 -466 39403685
현대사료 -415464 6150486
현대정보기술 4678 59537195
휘닉스소재 668 69138942
휴비츠 100861 11882871
3S 2 44232893
CSA 코스믹 850823 19747641
KB오토시스 0 11500000
KCC건설 -109761 21400000
KCI 270326 11270000
KJ프리텍 -134343 21997148
KPX생명과학 -3000 15000000
MP한강 -34088 56831270
SGA솔루션즈 0 33905098
SM C&C -210337 94061026
THE E&M -855323 91860980
W홀딩컴퍼니 1129354 120096333
YW 30 11355368
갑을메탈 -13674 31241496
국일신동 20000 11090000
국일제지 170 116391006
금강철강 -34325 18720000
기산텔레콤 0 14577340
나이벡 1719 6367958
나이스정보통신 -186614 10000000
뉴트리바이오텍 -503056 20628000
대성미생물 -7 3800000
대양제지 -41938 26850000
대주전자재료 502361 14551225
대한뉴팜 -400 14354920
대호피앤씨 -6699 73112826
덕우전자 22440 8110066
데이타솔루션 -100269 15718580
데코앤이 21284 97826074
동아화성 6634 15800000
동양파일 14969 20000000
동우팜투테이블 17158 25831764
동원개발 -858243 90808100
동진쎄미켐 1464687 51414494
로스웰 122934 90781250
링네트 11049 14936878
메디톡스 -65118 5656535
멕아이씨에스 0 5361500
멜파스 6458 21257151
모비스 2 28230427
미래테크놀로지 0 6120788
보성파워텍 2309 45854719
부방 21 47293490
브레인콘텐츠 -2267326 156258454
브이원텍 -122209 7366090
비디아이 37639 5280500
삼강엠앤티 -259927 18966017
삼보모터스 131 14249335
상보 -10393 28312361
샘코 -19856 7936681
서울전자통신 416 64764286
서진시스템 249893 6388737
서진오토모티브 -1 19541246
성우전자 -87 15508143
세중 -887799 18121667
셀바스AI -51499 22055945
소리바다 317568 56357072
소프트센 -11045 30780260
솔본 0 27345997
솔브레인 -12942 17398271
수산아이앤티 -31816 6751000
스타플렉스 -1352 6453734
썬텍 0 33153085
아스타 8000 9402523
아이리버 878002 47548592
아이씨케이 -65 31179722
아이오케이 -7872 26574014
아이즈비전 3728 15772574
아즈텍WB 80487 20916684
알테오젠 -22886 12643230
앤디포스 0 15068965
에너전트 -1784 44411076
에스디생명공학 77106 22375066
에코바이오 0 11527492
엔에스 23869 4900000
엔지켐생명과학 -12854 7674232
엠씨넥스 -11296 9196390
엠에스씨 -12000 17600000
영신금속 -225713 12832968
오가닉티코스메틱 -572535 56925000
오르비텍 -24803 23790573
오스테오닉 -101987 8458466
오스템 23184 26000000
옴니시스템 42160 40679015
옵트론텍 -8526 22560627
옵티시스 7917 5636000
와이아이케이 -394880 61788456
우리로 1 24791119
우리이앤엘 664 49900000
우리조명 -31 24923346
우림기계 12109 13500000
우진비앤지 0 16217013
원익머트리얼즈 -22591 6304000
원익큐브 1 35399906
웨이브일렉트로 -11216 10667063
위닉스 -926911 17873425
육일씨엔에쓰 -96047 9260160
이매진아시아 53 35679116
이상네트웍스 913 9015000
이스트아시아홀딩스 1589 109000686
인콘 -3424 25255452
인터엠 0 21045467
인터플렉스 8860 23327472
전파기지국 92471 52860000
제이브이엠 -121670 6330908
제일제강 -198 26032185
조이맥스 -66827 8505234
조이시티 -25016 11783395
주성엔지니어링 -232731 48249212
지어소프트 1060 13781805
지에스이 20832 29987597
지트리비앤티 -30386 23222432
진로발효 1544 7524000
컴투스 -188912 12866420
케이디켐 -1367 4034800
코다코 17926 39064256
코리아에프티 -254264 27841064
코메론 -49430 9048000
큐로컴 -128 109140008
큐리언트 10507 7566192
키이스트 159594 77453469
타이거일렉 0 6314290
태양 -5944 8600000
토비스 -38647 16717058
파루 3968 29667567
파이오링크 0 6856330
파인테크닉스 -117343 35512680
파티게임즈 0 24229954
팜스웰바이오 0 26727391
팬스타엔터프라이즈 190 41124943
퍼시픽바이오 25 47410004
펄어비스 -56072 12667000
평화정공 -81737 21000000
포비스티앤씨 232 40078058
프럼파스트 -20000 8846117
